flight_no,start_city,departure_time,end_city,arrival_time,fare,airline
0,Mumbai,360,Delhi,510,5000,IndiGo
1,Mumbai,390,Bangalore,500,7000,AirIndia
2,Delhi,540,Chennai,690,2000,Vistara
3,Delhi,570,Chennai,720,3000,SpiceJet
4,Chennai,750,Hyderabad,840,4000,IndiGo
5,Bangalore,600,Hyderabad,690,6000,AirAsia
6,Bangalore,630,Hyderabad,780,4500,AkasaAir
7,Pune,390,Delhi,570,2500,Vistara
8,Delhi,630,Hyderabad,780,3500,IndiGo
9,Mumbai,375,Chennai,510,4500,AirIndia
10,Chennai,660,Hyderabad,750,3000,SpiceJet
11,Mumbai,420,Goa,510,2000,AkasaAir
12,Goa,540,Hyderabad,660,3500,IndiGo
13,Bangalore,660,Kolkata,840,5000,Vistara
14,Kolkata,870,Hyderabad,990,4000,AirIndia
15,Mumbai,390,Ahmedabad,450,2200,IndiGo
16,Ahmedabad,510,Delhi,630,2800,SpiceJet
17,Delhi,780,Lucknow,840,1500,AirAsia
18,Lucknow,870,Hyderabad,990,3500,Vistara
19,Pune,420,Bangalore,540,3000,IndiGo
20,Bangalore,690,Chennai,750,1800,AkasaAir
21,Goa,570,Chennai,660,2500,AirIndia
22,Chennai,810,Kolkata,930,4500,Vistara
23,Kolkata,960,Delhi,1050,3000,SpiceJet
24,Delhi,1080,Mumbai,1200,5500,IndiGo
25,Ahmedabad,540,Goa,660,3200,AirAsia
26,Goa,720,Bangalore,810,2800,AkasaAir
27,Mumbai,450,Jaipur,570,4000,Vistara
28,Jaipur,630,Delhi,720,1800,IndiGo
29,Jaipur,810,Hyderabad,960,5000,AirIndia
